product_name,corp_id,corp_login,expert_partner_name,expert_role,proficiency_level,proficiency_level_start,hire_type,tnps_numerator,tnps_denominator,ir_numerator,ir_denominator,sqs_numerator,sqs_denominator,handled_conversion_numerator,handled_conversion_denominator,aht_numerator,aht_denominator,cst_numerator,cst_denominator,cst_basic_numerator,cst_basic_denominator,cst_deluxe_numerator,cst_deluxe_denominator,cst_premium_numerator,cst_premiun_denominator,tnps_basic_numerator,tnps_basic_denominator,tnps_deluxe_numerator,tnps_deluxe_denominator,tnps_premium_numerator,tnps_premium_denominator,aht_basic_numerator,aht_basic_denominator,aht_deluxe_numerator,aht_deluxe_denominator,aht_premium_numerator,aht_premium_denominator
TTL Full Service Consumer,50002436425,LVANG2,INTUIT,Tax Expert,PL4,PL4,Re-Hire,9,9,0,0,137.8,159.22,79,139,9143.316668,350,305.27958,129,44.843371,29,69.088709,43,182.663429,56,2,2,1,1,2,2,533.366669,29,1201.199995,54,1501.716665,59
TTL Assisted Consumer,50002436459,KWILLIAMS39,INTUIT,Tax Associate,PL2,PL2,Re-Hire,3,3,3,3,21.22,24.84,0,0,1770.866665,55,0,0,0,0,0,0,0,0,0,0,0,0,3,3,160.183333,2,329.500001,19,1014.199999,24
TTL Full Service Consumer,50002436459,KWILLIAMS39,INTUIT,Tax Associate,PL2,PL2,Re-Hire,1,1,1,1,28.7,32.04,12,18,941.616668,68,34.70281,10,8.332503,4,7.413005,2,18.957302,4,0,0,0,0,0,0,193.45,6,48.783334,11,162.050001,7
TTL Assisted Consumer,50002437721,DLANE3,INTUIT,Tax Associate,PL4,PL4,Re-Hire,7,11,11,11,55.14,74.01,0,0,4251.766663,238,0,0,0,0,0,0,0,0,0,0,4,4,2,6,377.783332,22,811.483332,65,1407.900001,86
TTL Full Service Consumer,50002437721,DLANE3,INTUIT,Tax Associate,PL4,PL4,Re-Hire,1,1,0,1,78.53,96.25,49,71,4449.266665,240,184.740613,59,30.084707,18,20.336087,9,134.319819,32,0,0,0,0,0,0,149.550002,9,333.783331,26,558.033333,17
TTL Assisted Consumer,50002437727,MKEDDISS,INTUIT,Tax Associate,PL4,PL4,Re-Hire,14,19,15,18,92.25,108.3,0,0,8497.250003,324,0,0,0,0,0,0,0,0,1,1,4,4,7,9,237.250002,14,1717.683332,76,3530.116665,131
TTL Full Service Consumer,50002437727,MKEDDISS,INTUIT,Tax Associate,PL4,PL4,Re-Hire,16,19,3,3,226.09,260.82,74,119,15620.81667,598,596.724136,145,76.634427,32,120.686961,42,399.402748,71,0,0,1,2,7,7,401.549999,31,1018.666667,57,2772.999999,113
TTL Assisted Consumer,50002437756,SHOUSTON1,INTUIT,Tax Associate,PL4,PL4,Re-Hire,11,14,11,13,31.65,40.29,0,0,6030.199993,187,0,0,0,0,0,0,0,0,0,0,3,3,7,7,297.816666,12,1736.916664,51,2502.816666,71
TTL Full Service Consumer,50002437756,SHOUSTON1,INTUIT,Tax Associate,PL4,PL4,Re-Hire,6,8,5,6,126.57,152.87,33,51,7775.616663,337,274.415085,49,40.462347,11,46.738154,13,171.886916,24,2,2,1,1,1,1,673.466668,29,963.733332,36,1245.55,53
TTL Assisted Consumer,50002437764,GLYNCH,INTUIT,Tax Expert,PL4,PL4,Re-Hire,3,3,3,3,9.89,11.66,0,0,1198.033333,46,0,0,0,0,0,0,0,0,0,0,0,0,1,1,13.666667,2,95.366666,6,357.216666,14
TTL Full Service Consumer,50002437764,GLYNCH,INTUIT,Tax Expert,PL4,PL4,Re-Hire,15,18,0,0,90.39,98.66,65,95,7334.849999,277,733.993493,119,79.59148,23,147.02523,30,507.376783,66,0,1,0,0,2,2,121.900001,7,553.066668,15,1432.699999,42
TTL Assisted Consumer,50002437766,JKARIUKI,INTUIT,Tax Associate,PL4,PL4,Re-Hire,7,8,7,8,36.61,40.35,0,0,4165.216668,135,0,0,0,0,0,0,0,0,0,0,1,2,4,4,257.466666,9,754.566665,33,1888.933337,52
TTL Full Service Consumer,50002437766,JKARIUKI,INTUIT,Tax Associate,PL4,PL4,Re-Hire,3,3,3,3,81.04,87.57,46,61,4956.983329,227,578.722058,72,23.556234,12,63.765148,16,466.601486,43,0,0,0,0,2,2,160.749998,14,367.833334,29,1314.516667,46
TTL Assisted Consumer,50002437767,MMCCUIN,INTUIT,Tax Associate,PL4,PL4,Re-Hire,0,4,1,4,19.56,23.39,0,0,1532.16667,78,0,0,0,0,0,0,0,0,0,0,-1,1,1,1,99.8,11,429.15,23,219.833335,15
TTL Full Service Consumer,50002437767,MMCCUIN,INTUIT,Tax Associate,PL4,PL4,Re-Hire,3,3,0,1,117.95,130.51,48,65,3264.933331,286,249.189402,122,26.749457,23,49.592729,31,172.847216,68,0,0,0,0,0,0,167.449999,14,456.333334,35,387.516666,30
TTL Assisted Consumer,50002437769,THIGBY,INTUIT,Tax Expert,PL4,PL4,Re-Hire,2,2,2,2,6.68,7.75,0,0,2451.95,68,0,0,0,0,0,0,0,0,0,0,0,0,2,2,59.766668,6,388.733333,9,674.083332,23
TTL Full Service Consumer,50002437769,THIGBY,INTUIT,Tax Expert,PL4,PL4,Re-Hire,4,4,1,1,92.28,105.26,39,60,4681.549997,276,461.394959,59,26.481063,9,95.82433,15,325.890234,33,0,0,1,1,0,0,103.900001,4,388.266665,26,603.933333,33
TTL Assisted Consumer,50002437784,BMCCAMY,INTUIT,Tax Associate,OTHER,OTHER,New Hire,2,5,3,4,6.11,7.42,0,0,1627.966665,42,0,0,0,0,0,0,0,0,0,0,1,1,1,4,309.333334,5,322.933333,10,873.133331,23
TTL Assisted Consumer,50002437787,MPOTTER4,INTUIT,Tax Associate,PL4,PL3,Re-Hire,5,5,5,5,53.59,68.7,0,0,2084.016666,140,0,0,0,0,0,0,0,0,2,2,0,0,3,3,186.133332,16,476.516665,34,817.350003,57
TTL Full Service Consumer,50002437787,MPOTTER4,INTUIT,Tax Associate,PL4,PL3,Re-Hire,3,3,0,0,112.84,126.81,75,100,2033.250001,252,311.774588,125,42.729479,29,54.301086,30,214.744023,66,0,0,0,0,1,1,72.566667,12,205.983334,38,224.433333,22
TTL Assisted Consumer,50002437790,NHANNAH,INTUIT,Tax Associate,PL3,PL2,Re-Hire,11,14,13,14,83.63,91.34,0,0,3810.966663,163,0,0,0,0,0,0,0,0,0,0,3,5,8,9,84.9,5,838.516666,32,2770.549997,119
TTL Full Service Consumer,50002437790,NHANNAH,INTUIT,Tax Associate,PL3,PL2,Re-Hire,7,10,1,1,178.7,196.53,66,98,6602.649994,453,121.072472,71,20.078747,18,41.808344,25,59.185381,28,0,1,1,1,-1,1,303.333331,25,1031.383333,76,1719.400002,86
TTL Assisted Consumer,50002437791,WNANUMA,INTUIT,Tax Associate,OTHER,OTHER,New Hire,10,20,13,18,231.62,297.54,0,0,12981.53334,572,0,0,0,0,0,0,0,0,2,2,5,5,2,12,746.016665,48,3729.733342,185,7828.099998,308
TTL Assisted Consumer,50002437793,SKING12,INTUIT,Tax Expert,PL1,PL1,Re-Hire,0,0,0,0,0.74,0.91,0,0,33.833333,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.15,1,0.683333,1,0,0
TTL Full Service Consumer,50002437793,SKING12,INTUIT,Tax Expert,PL1,PL1,Re-Hire,0,0,0,0,1.21,1.23,0,1,26.533333,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.65,1,0,0,0,0
TTL Assisted Consumer,50002437794,HLEE21,INTUIT,Tax Expert,PL4,PL4,Re-Hire,6,13,10,13,18.52,26.09,0,0,7930.816658,394,0,0,0,0,0,0,0,0,2,2,1,2,3,9,533.966666,30,1325.716666,79,2923.866665,141
TTL Full Service Consumer,50002437794,HLEE21,INTUIT,Tax Expert,PL4,PL4,Re-Hire,1,3,0,0,105.88,129.99,56,89,6299.083328,305,324.882322,114,52.091256,31,61.869605,27,208.448631,55,0,0,0,0,1,1,385.55,26,547.283334,30,751.416667,45
TTL Assisted Consumer,50002437856,PWRONKIEWIC,INTUIT,Tax Associate,PL3,PL2,Re-Hire,15,16,16,16,63.79,81.77,0,0,6880.516666,161,0,0,0,0,0,0,0,0,0,0,5,5,10,11,295.399999,12,2860.633334,43,3302.666666,94
TTL Full Service Consumer,50002437856,PWRONKIEWIC,INTUIT,Tax Associate,PL3,PL2,Re-Hire,1,8,2,5,196.78,243.28,42,58,8447.416672,461,142.943316,43,27.554037,12,47.826256,18,67.563023,13,0,0,2,2,1,3,622.433333,33,1950.566667,103,2209.100003,93
TTL Assisted Consumer,50002437969,GPEREZWOODE,INTUIT,Tax Associate,PL4,PL4,Re-Hire,5,5,4,4,30.02,35.1,0,0,2401.833333,147,0,0,0,0,0,0,0,0,2,2,2,2,1,1,171.233331,18,427.666667,37,778.700001,35
TTL Full Service Consumer,50002437969,GPEREZWOODE,INTUIT,Tax Associate,PL4,PL4,Re-Hire,3,3,0,1,117.33,141.05,29,58,3659.866667,330,228.397145,85,38.464691,18,44.668915,27,145.263539,40,0,0,0,0,0,0,180.783333,10,270.3,23,203.516667,7
TTL Assisted Consumer,50002437998,DWHITE20,INTUIT,Tax Associate,PL4,PL4,Re-Hire,8,10,7,8,29.9,35.1,0,0,3655.149999,116,0,0,0,0,0,0,0,0,0,0,4,5,2,2,166.283333,8,1031.000001,37,1052.083332,34
TTL Full Service Consumer,50002437998,DWHITE20,INTUIT,Tax Associate,PL4,PL4,Re-Hire,10,11,1,1,108.88,118.63,64,91,6319.766666,264,600.931131,102,71.867947,19,129.278781,26,396.68538,56,1,1,0,0,1,1,94.283333,8,296.983333,16,864.583334,22
TTL Assisted Consumer,50002438011,JPEREZ12,INTUIT,Tax Associate,PL4,PL4,Re-Hire,1,2,1,1,0,0,0,0,1199.066666,49,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,45.283333,5,711.333333,24
TTL Full Service Consumer,50002438011,JPEREZ12,INTUIT,Tax Associate,PL4,PL4,Re-Hire,1,1,0,0,8.24,9.92,14,17,415.716668,34,350.806122,65,77.766569,22,67.485723,13,205.55383,30,0,0,0,0,0,0,0,0,12.5,2,0,0
TTL Assisted Consumer,50002438026,SCHEVELON,INTUIT,Tax Associate,PL3,PL2,Re-Hire,18,20,19,20,92.11,108.26,0,0,9290.499994,209,0,0,0,0,0,0,0,0,2,2,7,8,7,8,404.083334,17,2137.866664,68,5434.049997,96
TTL Full Service Consumer,50002438026,SCHEVELON,INTUIT,Tax Associate,PL3,PL2,Re-Hire,11,15,4,5,254.8,281.96,103,143,20796.39999,577,470.366153,115,87.062581,25,150.912957,44,232.390615,46,0,0,2,2,2,4,1411.316665,51,4915.600003,150,3511.666667,78
TTL Assisted Consumer,50002438036,TDURANT,INTUIT,Tax Associate,PL4,PL4,Re-Hire,13,15,13,15,56.67,63.75,0,0,7140.950002,543,0,0,0,0,0,0,0,0,1,1,3,4,5,5,448.066666,44,1395.133331,114,2706.550002,160
TTL Full Service Consumer,50002438036,TDURANT,INTUIT,Tax Associate,PL4,PL4,Re-Hire,4,4,1,2,85.25,95.37,29,95,1818.733338,272,168.055176,61,26.250254,14,31.292936,13,110.511986,34,0,0,0,0,1,1,71.45,13,218.066668,41,188.299999,22
TTL Assisted Consumer,50002438052,FPENDLETONJ,INTUIT,Tax Associate,PL2,PL2,Re-Hire,1,1,1,1,3.21,5.15,0,0,297.100001,20,0,0,0,0,0,0,0,0,0,0,1,1,0,0,9.783333,3,202.083334,10,79.000001,6
TTL Full Service Consumer,50002438052,FPENDLETONJ,INTUIT,Tax Associate,PL2,PL2,Re-Hire,0,0,0,0,2.46,2.7,0,2,48.116667,5,4.074319,2,2.23796,1,1.836359,1,0,0,0,0,0,0,0,0,0,0,0,0,18.75,1
TTL Assisted Consumer,50002438053,KANYEMEDU,INTUIT,Tax Associate,PL2,PL2,Re-Hire,0,2,1,2,21.97,27.5,0,0,2209.916665,90,0,0,0,0,0,0,0,0,0,0,0,2,0,0,44.1,2,443.149999,22,887.85,34
TTL Full Service Consumer,50002438053,KANYEMEDU,INTUIT,Tax Associate,PL2,PL2,Re-Hire,3,3,1,1,29.79,35.46,28,37,1099.066661,73,54.018591,43,23.654043,21,22.564847,17,7.799701,5,1,1,2,2,0,0,129.383333,9,115.433331,12,53.883333,6
TTL Assisted Consumer,50002438063,STHURSTON,INTUIT,Tax Expert,PL4,PL4,Re-Hire,5,5,5,5,29.22,37.67,0,0,2026.250001,88,0,0,0,0,0,0,0,0,0,0,1,1,3,3,32,4,722.183332,26,662.566668,33
TTL Full Service Consumer,50002438063,STHURSTON,INTUIT,Tax Expert,PL4,PL4,Re-Hire,1,3,0,0,138.09,161.99,71,89,9125.349998,362,272.047616,107,44.468669,28,54.024458,29,173.554489,50,0,0,0,0,1,3,324.449999,13,935.950001,62,1416.133332,54
TTL Assisted Consumer,50002438066,VALVIAR,INTUIT,Tax Associate,OTHER,OTHER,New Hire,0,0,0,0,12.03,15.68,0,0,1168.683334,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.25,9,331.366668,15,640.533333,25
TTL Assisted Consumer,50002438067,RMCDONALD6,INTUIT,Tax Associate,PL2,PL2,Re-Hire,9,18,14,18,55.75,70.07,0,0,3816.866664,168,0,0,0,0,0,0,0,0,0,0,8,11,0,6,130.866666,9,1794.883333,77,1181.999998,52
TTL Full Service Consumer,50002438067,RMCDONALD6,INTUIT,Tax Associate,PL2,PL2,Re-Hire,7,10,0,2,179.7,215.05,75,117,9014.98333,551,127.716587,71,43.638057,29,64.749903,33,19.328627,9,0,0,2,4,1,1,423.983332,38,1762.183332,82,739.333332,41
TTL Assisted Consumer,50002438068,KMYERS7,INTUIT,Tax Associate,PL2,PL2,Re-Hire,4,5,5,5,14.19,17.86,0,0,1315.750004,71,0,0,0,0,0,0,0,0,0,0,3,4,1,1,39.466668,4,515.683335,33,220.983334,15
TTL Full Service Consumer,50002438068,KMYERS7,INTUIT,Tax Associate,PL2,PL2,Re-Hire,3,5,0,1,71.31,83.01,40,57,5508.933333,187,199.254368,65,67.14127,32,58.983447,19,67.113048,12,0,0,2,2,0,0,83.549999,7,995.199999,46,567.583334,14
TTL Assisted Consumer,50002438069,TSMITH50,INTUIT,Tax Associate,PL3,PL3,Re-Hire,7,9,8,9,43.45,52.54,0,0,3571.383332,87,0,0,0,0,0,0,0,0,0,0,3,3,4,6,86.616666,5,832.749999,25,2197.816668,49
TTL Full Service Consumer,50002438069,TSMITH50,INTUIT,Tax Associate,PL3,PL3,Re-Hire,6,8,6,7,130.6,144.78,48,66,7872.933333,309,650.878112,84,90.166582,31,155.317066,27,405.394464,26,0,0,3,3,1,1,472.433334,15,791.633333,34,1174.78333,43
TTL Assisted Consumer,50002438079,LTYSON2,INTUIT,Tax Associate,PL4,PL4,Re-Hire,2,2,1,2,10.99,14.22,0,0,739.083333,60,0,0,0,0,0,0,0,0,0,0,1,1,1,1,57.95,5,405.849999,29,85.183333,13
TTL Full Service Consumer,50002438079,LTYSON2,INTUIT,Tax Associate,PL4,PL4,Re-Hire,-1,3,0,0,35.15,40.43,35,44,1190.199998,99,251.430366,88,32.544387,21,83.298085,32,135.587894,35,-1,1,0,0,0,0,96.099999,8,94.816667,7,102.749999,14
TTL Assisted Consumer,50002438081,LCIPCICH,INTUIT,Tax Associate,PL4,PL4,Re-Hire,26,32,29,31,75.37,85.72,0,0,7583.549999,325,0,0,0,0,0,0,0,0,2,2,8,10,13,16,386.016667,28,1785.416665,94,3171.1,124
TTL Full Service Consumer,50002438081,LCIPCICH,INTUIT,Tax Associate,PL4,PL4,Re-Hire,22,22,3,3,274.03,295.54,121,169,14724.61667,691,478.911636,199,53.635526,42,76.693699,45,345.788684,111,1,1,2,2,9,9,441.233334,37,2332.983334,97,3370.283338,134
TTL Assisted Consumer,50002438082,TCHAMBERS2,INTUIT,Tax Associate,PL2,PL2,Re-Hire,9,12,9,11,53.92,61.29,0,0,3317.483334,135,0,0,0,0,0,0,0,0,1,1,1,2,6,8,169.933333,7,1171.733335,61,1346.116666,48
TTL Full Service Consumer,50002438082,TCHAMBERS2,INTUIT,Tax Associate,PL2,PL2,Re-Hire,11,14,1,2,94.69,104.24,58,84,6972.383334,212,188.593207,87,57.605132,29,80.110471,39,50.877604,19,1,2,2,2,-1,1,161.4,9,2093.999999,67,566.033334,16
TTL Assisted Consumer,50002438087,KRICHARDSON9,INTUIT,Tax Expert,PL4,PL4,Re-Hire,1,3,3,3,7.08,8.35,0,0,1229.333334,35,0,0,0,0,0,0,0,0,0,0,0,0,1,3,9.133333,1,199.983334,11,354.200001,9
TTL Full Service Consumer,50002438087,KRICHARDSON9,INTUIT,Tax Expert,PL4,PL4,Re-Hire,2,2,0,0,121.65,133.18,59,75,6038.616668,275,405.805979,100,68.669476,28,38.618654,15,298.517849,57,0,0,0,0,1,1,102.066666,10,617.766667,31,618.166665,25
TTL Assisted Consumer,50002438355,AHESSING,INTUIT,Tax Associate,PL4,PL2,Re-Hire,2,2,2,2,14.22,15.55,0,0,1288.266666,49,0,0,0,0,0,0,0,0,0,0,1,1,0,0,206.25,9,457.833332,18,63.15,6
TTL Full Service Consumer,50002438355,AHESSING,INTUIT,Tax Associate,PL4,PL2,Re-Hire,8,9,0,1,163.61,174.08,45,60,5570.450005,377,270.203853,50,63.965902,15,84.779765,19,103.501709,14,1,1,0,0,2,2,523.233333,29,720.9,75,776.950001,43
TTL Assisted Consumer,50002438364,RHOWE,INTUIT,Tax Specialist,PL3,PL2,Re-Hire,10,10,7,9,53.73,57.02,0,0,4293.466662,111,0,0,0,0,0,0,0,0,0,0,4,4,6,6,180.866667,6,1038.316664,33,2069.283332,51
TTL Assisted Consumer,50002438364,RHOWE,INTUIT,Tax Specialist,PL2,PL2,Re-Hire,10,10,7,9,53.73,57.02,0,0,4293.466662,111,0,0,0,0,0,0,0,0,0,0,4,4,6,6,180.866667,6,1038.316664,33,2069.283332,51
TTL Full Service Consumer,50002438364,RHOWE,INTUIT,Tax Specialist,PL3,PL2,Re-Hire,26,28,1,2,152.27,164.48,27,63,8948.900002,359,366.232196,128,164.500096,71,126.418936,42,75.313164,15,2,3,5,5,3,3,979.666667,42,2031.200001,86,1668.616667,39
TTL Full Service Consumer,50002438364,RHOWE,INTUIT,Tax Specialist,PL2,PL2,Re-Hire,26,28,1,2,152.27,164.48,27,63,8948.900002,359,366.232196,128,164.500096,71,126.418936,42,75.313164,15,2,3,5,5,3,3,979.666667,42,2031.200001,86,1668.616667,39
TTL Assisted Consumer,50002438365,ADAS14,INTUIT,Tax Expert,PL4,PL4,Re-Hire,4,4,4,4,15.61,17.29,0,0,1782.116665,80,0,0,0,0,0,0,0,0,0,0,2,2,0,0,61.533333,6,514.966665,30,549.599999,25
TTL Full Service Consumer,50002438365,ADAS14,INTUIT,Tax Expert,PL4,PL4,Re-Hire,1,1,0,0,60.64,65.85,56,83,3644.766667,162,366.031089,120,64.585352,36,67.386059,29,234.059678,55,0,0,0,0,0,0,224.966667,17,692,31,392.733332,9
TTL Assisted Consumer,50002438382,SMCCOLLUMMO,INTUIT,Tax Associate,PL2,PL2,Re-Hire,1,4,2,3,51.69,62.02,0,0,5028.916664,181,0,0,0,0,0,0,0,0,0,0,0,0,0,2,319.616666,14,1911.333332,63,1430.016668,59
TTL Full Service Consumer,50002438382,SMCCOLLUMMO,INTUIT,Tax Associate,PL2,PL2,Re-Hire,6,9,2,2,156.14,171.76,56,84,8128.616665,380,168.170143,57,90.096958,35,55.964864,18,22.108321,4,0,0,1,1,0,0,406.333334,26,1529.55,70,942.516667,41
TTL Assisted Consumer,50002438390,DASHE,INTUIT,Tax Associate,PL4,PL4,Re-Hire,13,16,12,14,50.32,61.32,0,0,3342.599996,186,0,0,0,0,0,0,0,0,1,1,8,8,4,5,69.349999,8,808.783329,48,738.300001,47
TTL Full Service Consumer,50002438390,DASHE,INTUIT,Tax Associate,PL4,PL4,Re-Hire,2,5,1,2,182.91,203.23,53,80,7491.149987,458,281.927448,106,68.372264,33,59.765559,27,132.353906,44,1,1,0,0,0,0,592.449996,32,694.966665,55,717.316664,46
TTL Assisted Consumer,50002438438,JLIPOSKY,INTUIT,Tax Expert,PL4,PL4,Re-Hire,5,5,5,5,16.31,18.74,0,0,2395.616667,51,0,0,0,0,0,0,0,0,0,0,0,0,5,5,222.95,4,213.583333,12,822.883333,21
TTL Full Service Consumer,50002438438,JLIPOSKY,INTUIT,Tax Expert,PL4,PL4,Re-Hire,1,1,1,1,45.6,53.04,10,19,4210.45,104,336.68297,55,49.709742,11,94.157187,20,173.182853,23,0,0,1,1,0,0,37.5,1,253.05,6,1243.65,36
TTL Assisted Consumer,50002438442,WBECK2,INTUIT,Tax Associate,PL4,PL4,Re-Hire,4,8,6,8,23.26,27.98,0,0,3564.283332,124,0,0,0,0,0,0,0,0,0,0,4,6,0,2,172.783333,11,997.033333,36,985.666664,39
TTL Full Service Consumer,50002438442,WBECK2,INTUIT,Tax Associate,PL4,PL4,Re-Hire,1,1,0,0,65.68,75.16,33,47,3389.933335,179,701.513105,75,64.960123,17,115.584663,15,520.968319,43,0,0,0,0,1,1,17.566667,6,472.116667,23,633.233336,36
TTL Assisted Consumer,50002438456,JDAVIS49,INTUIT,Tax Associate,PL4,PL2,Re-Hire,7,11,9,11,59.57,80.49,0,0,3505.399998,206,0,0,0,0,0,0,0,0,0,0,1,2,2,4,286.1,21,1118.299998,62,1135.099997,65
TTL Full Service Consumer,50002438456,JDAVIS49,INTUIT,Tax Associate,PL4,PL2,Re-Hire,6,12,0,1,256.77,307.1,128,167,10694.03334,624,287.356401,167,44.717857,37,51.669244,33,185.779224,94,1,1,1,3,0,4,189.933333,14,1086.383334,65,2281.966665,143
TTL Assisted Consumer,50002438488,VTADANG,INTUIT,Tax Expert,PL4,PL4,Re-Hire,9,9,9,9,17.9,19.88,0,0,3825.266667,102,0,0,0,0,0,0,0,0,0,0,4,4,3,3,192.9,5,919.883332,32,946.083335,27
TTL Full Service Consumer,50002438488,VTADANG,INTUIT,Tax Expert,PL4,PL4,Re-Hire,5,7,1,2,127.55,140.78,61,84,7521.516662,361,429.044086,127,33.80792,24,71.140272,37,324.095894,66,0,0,0,0,0,0,159.216668,16,391.783332,38,1000.199997,49
TTL Assisted Consumer,50002438499,JKOURY,INTUIT,Tax Expert,PL3,PL2,Re-Hire,8,8,7,7,31.61,35.96,0,0,3789.366667,106,0,0,0,0,0,0,0,0,1,1,3,3,3,3,299.416667,12,883.466666,34,1366.533332,30
TTL Full Service Consumer,50002438499,JKOURY,INTUIT,Tax Expert,PL3,PL2,Re-Hire,7,9,1,1,252.8,278.88,81,125,16480.13333,638,575.317865,103,111.487473,35,221.203465,35,242.626927,33,0,0,4,4,-1,1,621.28333,42,2039.833332,95,2495.316667,97
TTL Assisted Consumer,50002438500,BBLAINE1,INTUIT,Tax Associate,PL4,PL4,Re-Hire,9,12,10,12,26.26,29.11,0,0,7699.983339,358,0,0,0,0,0,0,0,0,2,2,0,0,3,6,360.983331,19,1066.183337,65,2499.333337,98
TTL Full Service Consumer,50002438500,BBLAINE1,INTUIT,Tax Associate,PL4,PL4,Re-Hire,8,10,3,4,146.68,156.47,46,75,7789.033335,647,267.380782,95,58.65985,29,50.054857,22,157.969895,43,0,0,1,3,2,2,330.216668,37,660,66,918.783334,53
TTL Assisted Consumer,50002438512,SPEREZ9,INTUIT,Tax Associate,PL4,PL4,Re-Hire,2,2,2,2,8.96,11.11,0,0,728.75,33,0,0,0,0,0,0,0,0,0,0,1,1,0,0,73.666667,2,118.366666,9,242.2,11
TTL Full Service Consumer,50002438512,SPEREZ9,INTUIT,Tax Associate,PL4,PL4,Re-Hire,2,3,0,0,42.59,46.82,33,38,3762.999998,117,222.666612,67,41.240063,21,36.588151,13,144.838398,33,1,2,0,0,1,1,193.583333,5,66.916668,4,464.833333,12
TTL Assisted Consumer,50002438540,LVANDESSEL,INTUIT,Tax Expert,PL4,PL4,Re-Hire,8,14,12,14,53.79,65.93,0,0,4433.099999,268,0,0,0,0,0,0,0,0,1,1,3,9,4,4,346.816667,26,1472.983334,102,1291.749998,80
TTL Full Service Consumer,50002438540,LVANDESSEL,INTUIT,Tax Expert,PL4,PL4,Re-Hire,6,11,2,2,405.4,450.59,163,219,23264.15001,941,0.7702,1,0.7702,1,0,0,0,0,0,0,0,1,0,0,1230.750001,48,2012.716665,105,3992.3,149
TTL Assisted Consumer,50002438547,MKELLY16,INTUIT,Tax Associate,PL4,PL4,Re-Hire,7,11,8,10,60.12,67.93,0,0,6172.233331,288,0,0,0,0,0,0,0,0,-1,1,3,3,2,4,658.949998,40,1187.033335,66,1766.816663,68
TTL Full Service Consumer,50002438547,MKELLY16,INTUIT,Tax Associate,PL4,PL4,Re-Hire,7,9,0,1,156.17,172.34,80,101,7971.849998,376,246.412856,131,40.36676,31,32.415641,24,173.630455,76,1,1,2,4,3,3,362.383335,20,860.449998,39,1853.883332,64
TTL Assisted Consumer,50002438548,LDAVIS21,INTUIT,Tax Associate,PL4,PL4,Re-Hire,0,6,3,6,53.3,78.55,0,0,2833.166661,183,0,0,0,0,0,0,0,0,0,0,0,2,1,3,151.883332,13,549.799999,43,935.616665,69
TTL Full Service Consumer,50002438548,LDAVIS21,INTUIT,Tax Associate,PL4,PL4,Re-Hire,3,3,0,1,99.18,130.38,53,87,3418.649995,268,216.099367,92,26.657564,22,19.837748,13,161.976388,56,0,0,1,1,0,0,52.716666,7,355.366668,36,482.916666,35
TTL Assisted Consumer,50002438550,ASTICKNEY,INTUIT,Tax Associate,PL4,PL4,Re-Hire,3,7,4,6,42.13,50.74,0,0,2931.016663,117,0,0,0,0,0,0,0,0,-1,1,0,2,1,1,172.666666,8,701.716667,35,1158.083331,45
TTL Full Service Consumer,50002438550,ASTICKNEY,INTUIT,Tax Associate,PL4,PL4,Re-Hire,8,9,1,1,137.94,155.95,105,143,9289.900002,357,287.757541,167,18.838414,18,51.154294,38,210.679775,110,0,0,1,1,1,2,106.433333,21,450.066668,28,1896.299998,76
TTL Assisted Consumer,50002438565,DDUEHNING,INTUIT,Tax Expert,OTHER,PL4,Re-Hire,1,1,1,1,0,0,0,0,892.849999,17,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,103.5,1,71.716666,4
TTL Full Service Consumer,50002438565,DDUEHNING,INTUIT,Tax Expert,OTHER,PL4,Re-Hire,0,0,0,0,0,0,0,0,110.916667,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.516667,1,0,0
TTL Assisted Consumer,50002438570,AMURRAY4,INTUIT,Tax Associate,PL4,PL4,Re-Hire,0,0,0,0,0.2,0.2,0,0,8.733333,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTL Full Service Consumer,50002438570,AMURRAY4,INTUIT,Tax Associate,PL4,PL4,Re-Hire,1,1,0,0,0.55,0.61,0,0,62.383333,1,231.962955,84,62.621384,31,78.158955,29,91.182616,24,0,0,0,0,0,0,0,0,0,0,0,0
TTL Assisted Consumer,50002438582,PMATZNER,INTUIT,Tax Expert,PL4,PL4,Re-Hire,16,18,17,17,19.41,21.42,0,0,4888.400002,218,0,0,0,0,0,0,0,0,2,2,5,5,6,8,420.416668,16,904.583333,48,1717.383336,79
TTL Full Service Consumer,50002438582,PMATZNER,INTUIT,Tax Expert,PL4,PL4,Re-Hire,11,15,1,1,69.21,74.35,34,47,4385.366668,216,153.596279,71,35.221387,25,61.935838,26,56.439054,20,0,0,0,1,1,3,184.783333,23,1204.483334,29,644.316668,38
TTL Assisted Consumer,50002438584,NADINARAIN,INTUIT,Tax Associate,PL3,PL2,Re-Hire,9,11,10,11,86.07,108.89,0,0,4889.849999,214,0,0,0,0,0,0,0,0,0,0,8,8,1,3,426.35,22,1573.35,87,2222.149999,84
