product_name,expert_partner_name,expert_role,proficiency_level,hire_type,expert_count,tnps_numerator,tnps_denominator,ir_numerator,ir_denominator,sqs_numerator,sqs_denominator,handled_conversion_numerator,handled_conversion_denominator,aht_numerator,aht_denominator,cst_numerator,cst_denominator,cst_basic_numerator,cst_basic_denominator,cst_deluxe_numerator,cst_deluxe_denominator,cst_premium_numerator,cst_premiun_denominator
TTL Assisted Consumer,MAGNIT,Tax Expert,PL1,Re-Hire,2,7,8,8,8,24.1,28.41,0,0,3563.716668,121,0,0,0,0,0,0,0,0
TTL Assisted Consumer,MAGNIT,Tax Expert,PL2,New Hire,38,808,1107,953,1054,4884.25,5937.85,0,0,363344.35,13255,0,0,0,0,0,0,0,0
TTL Assisted Consumer,MAGNIT,Tax Expert,PL2,Re-Hire,3,6,12,10,12,74.77,92.5,0,0,6885.366667,281,0,0,0,0,0,0,0,0
TTL Assisted Consumer,MAGNIT,Tax Expert,PL3,New Hire,18,393,527,456,507,2507.35,3088.14,0,0,194208.0666,6966,0,0,0,0,0,0,0,0
TTL Assisted Consumer,MAGNIT,Tax Expert,PL3,Re-Hire,1,0,0,0,0,0.6,0.66,0,0,13801.58334,128,0,0,0,0,0,0,0,0
TTL Assisted Consumer,MAGNIT,Tax Expert,PL4,New Hire,28,143,204,178,194,2120.17,2603.18,0,0,131582.85,5509,0,0,0,0,0,0,0,0
TTL Full Service Consumer,MAGNIT,Tax Associate,OTHER,New Hire,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTL Full Service Consumer,MAGNIT,Tax Associate,OTHER,Re-Hire,9,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTL Full Service Consumer,MAGNIT,Tax Associate,PL1,New Hire,161,73,107,0,2,1802.06,2233.21,834,1819,87246.21668,3129,1615.809058,846,919.701749,571,304.096517,131,387.250125,143
TTL Full Service Consumer,MAGNIT,Tax Associate,PL1,Re-Hire,1,0,0,0,0,4.78,6.92,0,0,87.983333,10,3.272533,1,3.272533,1,0,0,0,0
TTL Full Service Consumer,MAGNIT,Tax Associate,PL2,New Hire,224,195,270,5,5,3932.44,4751.85,2161,3860,205084.0833,6721,5211.374154,2317,1772.890444,1079,1964.405246,837,1395.336496,387
TTL Full Service Consumer,MAGNIT,Tax Associate,PL2,Re-Hire,7,8,10,0,0,117.66,149.02,64,128,6472.266664,192,127.304425,66,39.302321,29,64.866275,33,19.094582,3
TTL Full Service Consumer,MAGNIT,Tax Associate,PL3,New Hire,83,144,182,2,2,2141.07,2470.92,1357,2123,111905.35,3570,3871.686081,1487,850.627621,491,1163.405721,497,1832.229383,491
TTL Full Service Consumer,MAGNIT,Tax Associate,PL3,Re-Hire,2,1,1,0,0,2.62,2.68,3,3,153.416667,4,10.772954,4,6.275403,3,0,0,4.497551,1
TTL Full Service Consumer,MAGNIT,Tax Associate,PL4,New Hire,151,600,810,0,0,5132.34,5723.45,4699,6402,569868.75,11526,18330.59512,5150,1039.776712,543,2427.197105,930,14743.76568,3652
TTL Full Service Consumer,MAGNIT,Tax Associate,PL4,Re-Hire,12,3,5,0,0,171.5,195.53,150,210,16467.18333,387,848.794412,179,38.060555,16,98.503174,33,712.230683,130
TTL Full Service Consumer,MAGNIT,Tax Expert,OTHER,New Hire,22,0,0,0,0,82.27,125.15,0,0,6992.416666,377,0,0,0,0,0,0,0,0
TTL Full Service Consumer,MAGNIT,Tax Expert,PL1,New Hire,13,0,0,0,0,28.46,43.17,15,26,2978.966666,61,168.352049,33,17.266226,12,31.404109,7,119.681714,14
TTL Full Service Consumer,MAGNIT,Tax Expert,PL1,Re-Hire,1,0,0,0,0,0.62,0.93,0,0,11.65,1,3.073558,1,0,0,0,0,3.073558,1
TTL Full Service Consumer,MAGNIT,Tax Expert,PL2,New Hire,36,19,31,0,0,706.55,842.7,392,702,31700.84999,1194,803.024697,400,301.622737,197,375.538054,161,122.769591,41
TTL Full Service Consumer,MAGNIT,Tax Expert,PL2,Re-Hire,1,0,0,0,0,5.75,7.53,3,3,200.85,11,2.739593,1,0,0,2.739593,1,0,0
TTL Full Service Consumer,MAGNIT,Tax Expert,PL3,New Hire,18,32,38,0,0,373.63,440.67,292,420,22807.61666,691,981.823647,330,148.081262,73,203.179333,90,619.747156,165
TTL Full Service Consumer,MAGNIT,Tax Expert,PL3,Re-Hire,1,0,0,0,0,4.63,5.13,2,3,292.133334,7,11.902261,2,0,0,5.936197,1,5.966064,1
TTL Full Service Consumer,MAGNIT,Tax Expert,PL4,New Hire,28,160,211,0,0,1407.68,1569.46,1404,1866,128299.4167,3083,4512.503841,1575,262.762235,182,476.144475,239,3740.918295,1148
TTL Full Service Consumer,Unknown,Tax Expert,OTHER,Re-Hire,1,0,0,0,0,0,0,0,0,0,0,1.945254,1,0,0,1.945254,1,0,0
